Date,Adj Close,Close,High,Low,Open,Volume,SP500,DEXJPUS,DEXUSEU,CBBTCUSD,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,Typical_Price,Typical_Price_Return,Returns,Daily_Return
2020-01-31,345.0899963378906,345.0899963378906,347.3900146484375,340.9800109863281,347.3900146484375,5230000.0,3225.52,108.5,1.1082,9343.28,-1.74,-0.5,-0.35,-0.45,-0.66,0.006,0.115683,344.48667399088544,-0.16725698901538522,-2.649993896484375,-0.007649804052533682
2020-02-04,369.010009765625,369.010009765625,369.57000732421875,356.1000061035156,361.0,7161500.0,3297.59,109.41,1.1043,9158.57,1.57,-0.15,-0.66,0.34,-0.16,0.006,0.132595,364.8933410644531,2.8511299985426675,11.010009765625,0.03029078400801488
2020-02-05,369.6700134277344,369.6700134277344,375.25,362.29998779296875,375.1300048828125,6437000.0,3334.69,109.74,1.1006,9623.44,0.97,0.75,1.47,0.96,0.66,0.006,0.113316,369.0733337402344,1.1390266101231283,0.660003662109375,0.0017869816890101475
2020-02-06,366.95001220703125,366.95001220703125,371.54998779296875,362.510009765625,369.6000061035156,3920400.0,3345.78,109.89,1.0979,9765.96,0.27,-0.58,-0.84,-0.02,-0.4,0.006,0.0846251,367.0033365885417,-0.5624421183304307,-2.720001220703125,-0.007385119840455978
2020-02-07,366.7699890136719,366.7699890136719,371.79998779296875,363.57000732421875,365.0400085449219,4385200.0,3327.71,109.81,1.095,9804.98,-0.55,-0.83,-0.04,-0.21,-0.58,0.006,0.0465104,367.37999471028644,0.1025780784282837,-0.180023193359375,-0.0004907136146554691
2020-02-11,373.69000244140625,373.69000244140625,378.1099853515625,369.7200012207031,373.75,4772900.0,3357.75,109.78,1.0917,10279.99,0.28,0.34,1.05,0.24,0.33,0.006,-0.199606,373.8399963378906,1.1776400647232066,2.6199951171875,0.007035839440804104
2020-02-12,380.010009765625,380.010009765625,380.6199951171875,375.8800048828125,377.17999267578125,4624800.0,3379.45,110.0,1.0893,10344.01,0.66,0.15,-0.34,0.19,0.07,0.006,-0.284204,378.836669921875,1.3277273526303368,6.32000732421875,0.016771010628049865
2020-02-13,381.3999938964844,381.3999938964844,385.3699951171875,376.510009765625,376.9599914550781,4485400.0,3373.94,109.81,1.0848,10239.57,-0.09,0.15,0.01,-0.13,-0.39,0.006,-0.37806,381.0933329264323,0.5939151315161872,1.389984130859375,0.0036510833014062882
2020-02-14,380.3999938964844,380.3999938964844,385.1499938964844,379.42999267578125,381.4700012207031,3736300.0,3380.16,109.77,1.0839,10380.0,0.15,-0.57,-0.66,-0.24,-0.3,0.006,-0.481209,381.6599934895833,0.1485829422900764,-1.0,-0.002625362537152398
2020-02-19,386.19000244140625,386.19000244140625,392.95001220703125,384.8999938964844,388.1199951171875,4896400.0,3386.15,111.17,1.0794,9591.54,0.6,0.19,0.04,0.18,-0.24,0.006,-1.1371,388.0133361816406,0.6489862445627104,-1.589996337890625,-0.004108682693504839
